Date,Platform,Content_Type,Theme,Hook,CTA,Owner
2025-11-01,Instagram,Story,Ugly Sweater Roulette,"Spin the wheel, land your glow.",Swipe for drop list,Content Squad
2025-11-02,Facebook,Post,12 Days of Ugly,Countdown teaser drop.,Shop now,Content Squad
2025-11-03,TikTok,Reel,Pet UglyGlow,Dogs + LEDs = viral.,Tap to take the quiz,Content Squad
2025-11-04,Pinterest,Post,Behind the Knit,Meet the elves behind the seams.,Shop now,Content Squad
2025-11-05,Instagram,Post,Glow Club Testimonial,Real members share glow-ups.,Shop now,Content Squad
2025-11-06,Facebook,Story,Gift Guide,Solve Secret Santa in 30 seconds.,Swipe for drop list,Content Squad
2025-11-07,TikTok,Reel,Styling Session,3 ways to layer your glow.,Tap to take the quiz,Content Squad
2025-11-08,Pinterest,Post,UGC Duet,React to fan-submitted glow.,Shop now,Content Squad
2025-11-09,Instagram,Post,Ugly Sweater Roulette,"Spin the wheel, land your glow.",Shop now,Content Squad
2025-11-10,Facebook,Live,12 Days of Ugly,Countdown teaser drop.,Join live + exclusive drop,Content Squad
2025-11-11,TikTok,Story,Pet UglyGlow,Dogs + LEDs = viral.,Swipe for drop list,Content Squad
2025-11-12,Pinterest,Reel,Behind the Knit,Meet the elves behind the seams.,Tap to take the quiz,Content Squad
2025-11-13,Instagram,Post,Glow Club Testimonial,Real members share glow-ups.,Shop now,Content Squad
2025-11-14,Facebook,Post,Gift Guide,Solve Secret Santa in 30 seconds.,Shop now,Content Squad
2025-11-15,TikTok,Post,Styling Session,3 ways to layer your glow.,Shop now,Content Squad
2025-11-16,Pinterest,Reel,UGC Duet,React to fan-submitted glow.,Tap to take the quiz,Content Squad
2025-11-17,Instagram,Post,Ugly Sweater Roulette,"Spin the wheel, land your glow.",Shop now,Content Squad
2025-11-18,Facebook,Post,12 Days of Ugly,Countdown teaser drop.,Shop now,Content Squad
2025-11-19,TikTok,Post,Pet UglyGlow,Dogs + LEDs = viral.,Shop now,Content Squad
2025-11-20,Pinterest,Post,Behind the Knit,Meet the elves behind the seams.,Shop now,Content Squad
2025-11-21,Instagram,Reel,Glow Club Testimonial,Real members share glow-ups.,Tap to take the quiz,Content Squad
2025-11-22,Facebook,Post,Gift Guide,Solve Secret Santa in 30 seconds.,Shop now,Content Squad
2025-11-23,TikTok,Live,Styling Session,3 ways to layer your glow.,Join live + exclusive drop,Content Squad
2025-11-24,Pinterest,Post,UGC Duet,React to fan-submitted glow.,Shop now,Content Squad
2025-11-25,Instagram,Post,Ugly Sweater Roulette,"Spin the wheel, land your glow.",Shop now,Content Squad
2025-11-26,Facebook,Story,12 Days of Ugly,Countdown teaser drop.,Swipe for drop list,Content Squad
2025-11-27,TikTok,Reel,Pet UglyGlow,Dogs + LEDs = viral.,Tap to take the quiz,Content Squad
2025-11-28,Pinterest,Post,Behind the Knit,Meet the elves behind the seams.,Shop now,Content Squad
2025-11-29,Instagram,Live,Glow Club Testimonial,Real members share glow-ups.,Join live + exclusive drop,Content Squad
2025-11-30,Facebook,Post,Gift Guide,Solve Secret Santa in 30 seconds.,Shop now,Content Squad
2025-12-01,TikTok,Reel,Styling Session,3 ways to layer your glow.,Tap to take the quiz,Content Squad
2025-12-02,Pinterest,Post,UGC Duet,React to fan-submitted glow.,Shop now,Content Squad
2025-12-03,Instagram,Post,Ugly Sweater Roulette,"Spin the wheel, land your glow.",Shop now,Content Squad
2025-12-04,Facebook,Post,12 Days of Ugly,Countdown teaser drop.,Shop now,Content Squad
2025-12-05,TikTok,Reel,Pet UglyGlow,Dogs + LEDs = viral.,Tap to take the quiz,Content Squad
2025-12-06,Pinterest,Story,Behind the Knit,Meet the elves behind the seams.,Swipe for drop list,Content Squad
2025-12-07,Instagram,Live,Glow Club Testimonial,Real members share glow-ups.,Join live + exclusive drop,Content Squad
2025-12-08,Facebook,Reel,Gift Guide,Solve Secret Santa in 30 seconds.,Tap to take the quiz,Content Squad
2025-12-09,TikTok,Post,Styling Session,3 ways to layer your glow.,Shop now,Content Squad
2025-12-10,Pinterest,Post,UGC Duet,React to fan-submitted glow.,Shop now,Content Squad
2025-12-11,Instagram,Story,Ugly Sweater Roulette,"Spin the wheel, land your glow.",Swipe for drop list,Content Squad
2025-12-12,Facebook,Reel,12 Days of Ugly,Countdown teaser drop.,Tap to take the quiz,Content Squad
2025-12-13,TikTok,Post,Pet UglyGlow,Dogs + LEDs = viral.,Shop now,Content Squad
2025-12-14,Pinterest,Post,Behind the Knit,Meet the elves behind the seams.,Shop now,Content Squad
2025-12-15,Instagram,Reel,Glow Club Testimonial,Real members share glow-ups.,Tap to take the quiz,Content Squad
